string_id,language,language_code,english_text,current_translation,needs_translation
app_name,Afrikaans,values-af,Atomic,Atomic,YES
chip_water,Afrikaans,values-af,Water,Water,YES
pro_plus_version,Afrikaans,values-af,PRO+ Version,PRO+ Version,YES
pro_version,Afrikaans,values-af,PRO Version,PRO Version,YES
xp_bonus,Afrikaans,values-af,+%d%% bonus xp,+%d%% bonus xp,YES
english_name_colon,Afrikaans,values-af,English Name:,English Name:,YES
description_colon,Afrikaans,values-af,Description:,Description:,YES
year_discovered_colon,Afrikaans,values-af,Year Discovered:,Year Discovered:,YES
discovered_by_colon,Afrikaans,values-af,Discovered By:,Discovered By:,YES
oxidation_states_colon,Afrikaans,values-af,Oxidation States:,Oxidation States:,YES
electron_configuration_colon,Afrikaans,values-af,Electron Configuration:,Electron Configuration:,YES
ion_charge_colon,Afrikaans,values-af,Ion Charge:,Ion Charge:,YES
ionization_energies_colon,Afrikaans,values-af,Ionization Energies:,Ionization Energies:,YES
electrical_type_colon,Afrikaans,values-af,Electrical Type:,Electrical Type:,YES
electrical_resistivity_colon,Afrikaans,values-af,Electrical Resistivity:,Electrical Resistivity:,YES
magnetic_type_colon,Afrikaans,values-af,Magnetic Type:,Magnetic Type:,YES
superconducting_point_colon,Afrikaans,values-af,Superconducting Point:,Superconducting Point:,YES
mohs_hardness_colon,Afrikaans,values-af,Mohs hardness:,Mohs hardness:,YES
vickers_hardness_colon,Afrikaans,values-af,Vickers hardness:,Vickers hardness:,YES
radioactive_colon,Afrikaans,values-af,Radioactive:,Radioactive:,YES
isotopes_colon,Afrikaans,values-af,Isotopes:,Isotopes:,YES
neutron_cross_sectional_colon,Afrikaans,values-af,Neutron Cross Sectional:,Neutron Cross Sectional:,YES
cas_number_colon,Afrikaans,values-af,CAS Number:,CAS Number:,YES
eg_number_colon,Afrikaans,values-af,EG Number:,EG Number:,YES
take_notes_for_element,Afrikaans,values-af,Take notes for element,Take notes for element,YES
read_more,Afrikaans,values-af,..more,..more,YES
view_all_isotopes,Afrikaans,values-af,View all Isotopes,View all Isotopes,YES
hardness_properties_requires_pro,Afrikaans,values-af,Hardness properties requires PRO-version. Get PRO to unlock more data and tables:,Hardness properties requires PRO-version. Get PRO to unlock more data and tables:,YES
app_name,Filipino,values-b+fil,Atomic,Atomic,YES
blog,Filipino,values-b+fil,Blog,Blog,YES
element_elastic_modulus,Filipino,values-b+fil,Elastic modulus:,Elastic modulus:,YES
element_shear_modulus,Filipino,values-b+fil,Shear modulus:,Shear modulus:,YES
element_bulk_modulus,Filipino,values-b+fil,Bulk modulus:,Bulk modulus:,YES
other_settings,Filipino,values-b+fil,Advanced,Advanced,YES
submit_bug,Filipino,values-b+fil,Bug,Bug,YES
auto_hide_bottombar,Filipino,values-b+fil,Auto-hide Bottombar,Auto-hide Bottombar,YES
table_electrochemical,Filipino,values-b+fil,Electrochemical Series,Electrochemical Series,YES
activity_ph_neutral,Filipino,values-b+fil,Neutral,Neutral,YES
activity_ph_methyl_orange,Filipino,values-b+fil,Methyl-orange,Methyl-orange,YES
activity_ph_bromothymol_blue,Filipino,values-b+fil,Bromothymol Blue,Bromothymol Blue,YES
activity_ph_congo_red,Filipino,values-b+fil,Congo Red,Congo Red,YES
activity_ph_phenolphthalein,Filipino,values-b+fil,Phenolphthalein,Phenolphthalein,YES
electrochemical_series,Filipino,values-b+fil,Electrochemical Series,Electrochemical Series,YES
short_voltage,Filipino,values-b+fil, (Volt), (Volt),YES
bug,Filipino,values-b+fil,Bug,Bug,YES
ele,Filipino,values-b+fil,Electrochemical Series,Electrochemical Series,YES
uni,Filipino,values-b+fil,Unit Converter,Unit Converter,YES
unit_title,Filipino,values-b+fil,Unit Converter,Unit Converter,YES
calc_molar_mass,Filipino,values-b+fil,Molar Mass:,Molar Mass:,YES
unit_converter_title,Filipino,values-b+fil,Unit Converter,Unit Converter,YES
unit_output_value,Filipino,values-b+fil,Output,Output,YES
unit_formula,Filipino,values-b+fil,Formula:,Formula:,YES
flashcards_title,Filipino,values-b+fil,Flashcards,Flashcards,YES
learning_games,Filipino,values-b+fil,Learning-Games:,Learning-Games:,YES
flashcards_atomic_mass,Filipino,values-b+fil,Atomic Mass,Atomic Mass,YES
flashcards_game_element_atomic_mass,Filipino,values-b+fil,Atomic Mass,Atomic Mass,YES
atomic_mass,Filipino,values-b+fil,Atomic Mass,Atomic Mass,YES
phase_stp,Filipino,values-b+fil,Phase (STP),Phase (STP),YES
superconducting_point,Filipino,values-b+fil,Superconducting Point,Superconducting Point,YES
neutron_cross_sectional,Filipino,values-b+fil,Neutron Cross Sectional,Neutron Cross Sectional,YES
mohs_hardness,Filipino,values-b+fil,Mohs Hardness,Mohs Hardness,YES
vickers_hardness,Filipino,values-b+fil,Vickers Hardness,Vickers Hardness,YES
brinell_hardness,Filipino,values-b+fil,Brinell Hardness,Brinell Hardness,YES
level_25_29,Filipino,values-b+fil,Level 25,Level 25,YES
level_30_34,Filipino,values-b+fil,Level 30,Level 30,YES
boiling_point_celsius,Filipino,values-b+fil,Boiling Point (°C):,Boiling Point (°C):,YES
boiling_point_fahrenheit,Filipino,values-b+fil,Boiling Point (°F):,Boiling Point (°F):,YES
boiling_point_kelvin,Filipino,values-b+fil,Boiling Point (Kelvin):,Boiling Point (Kelvin):,YES
melting_point_celsius,Filipino,values-b+fil,Melting Point (°C):,Melting Point (°C):,YES
melting_point_fahrenheit,Filipino,values-b+fil,Melting Point (°F):,Melting Point (°F):,YES
melting_point_kelvin,Filipino,values-b+fil,Melting Point (Kelvin):,Melting Point (Kelvin):,YES
level_range_format,Filipino,values-b+fil,Level %1$d,Level %1$d,YES
reward_5pct_title,Filipino,values-b+fil,+5% XP bonus,+5% XP bonus,YES
achievement_reached_prefix,Filipino,values-b+fil,Achievement reached: ,Achievement reached: ,YES
additional_data_item,Filipino,values-b+fil,- Additional Data:,- Additional Data:,YES
additional_flashcards_games,Filipino,values-b+fil,Additional Flashcards games:,Additional Flashcards games:,YES
additional_properties_requires_pro,Filipino,values-b+fil,Additional properties requires PRO-version. Get PRO to unlock more data and tables:,Additional properties requires PRO-version. Get PRO to unlock more data and tables:,YES
additional_tables_item,Filipino,values-b+fil,- Additional Tables:,- Additional Tables:,YES
and_more_item,Filipino,values-b+fil,- And more,- And more,YES
appearance_colon,Filipino,values-b+fil,Appearance:,Appearance:,YES
atomic_mass_colon,Filipino,values-b+fil,Atomic Mass:,Atomic Mass:,YES
atomic_number_label,Filipino,values-b+fil,Atomic Number:,Atomic Number:,YES
atomic_radius_calculated_colon,Filipino,values-b+fil,Atomic Radius (Calculated):,Atomic Radius (Calculated):,YES
atomic_radius_empirical_colon,Filipino,values-b+fil,Atomic Radius (Empirical):,Atomic Radius (Empirical):,YES
